geoname_id,continent_code,continent_name,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,time_zone
5197405,NA,North America,US,United States,PA,Pennsylvania,Laurelton,577,America/New_York
5191611,NA,North America,US,United States,PA,Pennsylvania,Grampian,574,America/New_York
5187003,NA,North America,US,United States,PA,Pennsylvania,Distant,508,America/New_York
5218361,NA,North America,US,United States,PA,Pennsylvania,Weedville,574,America/New_York
5189096,NA,North America,US,United States,PA,Pennsylvania,Fairmont City,508,America/New_York
5123252,NA,North America,US,United States,NY,New York,Kennedy,514,America/New_York
5184756,NA,North America,US,United States,PA,Pennsylvania,Coalport,574,America/New_York
5185494,NA,North America,US,United States,PA,Pennsylvania,Corsica,508,America/New_York
5187311,NA,North America,US,United States,PA,Pennsylvania,Driftwood,574,America/New_York
5185798,NA,North America,US,United States,PA,Pennsylvania,Cranesville,516,America/New_York
5533244,NA,North America,US,United States,TX,Texas,Wellman,651,America/Chicago
5516259,NA,North America,US,United States,TX,Texas,Amherst,651,America/Chicago
5533637,NA,North America,US,United States,TX,Texas,Whiteface,651,America/Chicago
4532065,NA,North America,US,United States,OK,Oklahoma,Cameron,670,America/Chicago
4539113,NA,North America,US,United States,OK,Oklahoma,Howe,670,America/Chicago
4406857,NA,North America,US,United States,MO,Missouri,Saint Elizabeth,604,America/Chicago
4391752,NA,North America,US,United States,MO,Missouri,Iberia,604,America/Chicago
4529973,NA,North America,US,United States,OK,Oklahoma,Barnsdall,671,America/Chicago
5196003,NA,North America,US,United States,PA,Pennsylvania,Kennerdell,508,America/New_York
4535904,NA,North America,US,United States,OK,Oklahoma,Elmore City,657,America/Chicago
5055655,NA,North America,US,United States,MO,Missouri,Jameson,616,America/Chicago
4383553,NA,North America,US,United States,MO,Missouri,Dearborn,616,America/Chicago
5285956,NA,North America,US,United States,TX,Texas,Loop,633,America/Chicago
5529568,NA,North America,US,United States,TX,Texas,Ropesville,651,America/Chicago
4125940,NA,North America,US,United States,AR,Arkansas,Pettigrew,670,America/Chicago
5169693,NA,North America,US,United States,OH,Ohio,Saint Louisville,535,America/New_York
4193197,NA,North America,US,United States,GA,Georgia,Elko,503,America/New_York
4293036,NA,North America,US,United States,KY,Kentucky,Gordon,531,America/New_York
4284332,NA,North America,US,United States,KY,Kentucky,Big Creek,541,America/New_York
4303508,NA,North America,US,United States,KY,Kentucky,Paint Lick,541,America/New_York
4311289,NA,North America,US,United States,KY,Kentucky,Trosper,557,America/New_York
4282713,NA,North America,US,United States,KY,Kentucky,Ary,564,America/New_York
4736741,NA,North America,US,United States,TX,Texas,Throckmorton,627,America/Chicago
5065794,NA,North America,US,United States,NE,Nebraska,Clatonia,722,America/Chicago
5072362,NA,North America,US,United States,NE,Nebraska,Louisville,652,America/Chicago
4403803,NA,North America,US,United States,MO,Missouri,Pleasant Hope,619,America/Chicago
5069593,NA,North America,US,United States,NE,Nebraska,Hallam,652,America/Chicago
5066874,NA,North America,US,United States,NE,Nebraska,Denton,722,America/Chicago
5495238,NA,North America,US,United States,NM,New Mexico,Truchas,790,America/Denver
4534117,NA,North America,US,United States,OK,Oklahoma,Cordell,650,America/Chicago
4534122,NA,North America,US,United States,OK,Oklahoma,Corn,650,America/Chicago
4112430,NA,North America,US,United States,AR,Arkansas,Glenwood,693,America/Chicago
4490285,NA,North America,US,United States,NC,North Carolina,Sandy Ridge,518,America/New_York
5168205,NA,North America,US,United States,OH,Ohio,Risingsun,547,America/New_York
5148046,NA,North America,US,United States,OH,Ohio,Bradner,547,America/New_York
5177020,NA,North America,US,United States,OH,Ohio,Willshire,509,America/New_York
5168839,NA,North America,US,United States,OH,Ohio,Russia,542,America/New_York
4047834,NA,North America,US,United States,FL,Florida,Lake Monroe,534,America/New_York
4296219,NA,North America,US,United States,KY,Kentucky,Jeffersonville,541,America/New_York
7153457,NA,North America,US,United States,KY,Kentucky,Rockhouse,564,America/New_York
4290800,NA,North America,US,United States,KY,Kentucky,Eastern,564,America/New_York
4659791,NA,North America,US,United States,TN,Tennessee,Stanton,640,America/Chicago
4580931,NA,North America,US,United States,SC,South Carolina,Hamer,570,America/New_York
4199475,NA,North America,US,United States,GA,Georgia,Harrison,503,America/New_York
4335797,NA,North America,US,United States,LA,Louisiana,Oakdale,644,America/Chicago
4320425,NA,North America,US,United States,LA,Louisiana,Colfax,644,America/Chicago
4315350,NA,North America,US,United States,LA,Louisiana,Ball,644,America/Chicago
4337755,NA,North America,US,United States,LA,Louisiana,Pollock,644,America/Chicago
4319231,NA,North America,US,United States,LA,Louisiana,Castor,612,America/Chicago
4617650,NA,North America,US,United States,TN,Tennessee,Decatur,575,America/New_York
4624577,NA,North America,US,United States,TN,Tennessee,Georgetown,575,America/New_York
4458728,NA,North America,US,United States,NC,North Carolina,Calypso,545,America/New_York
4591756,NA,North America,US,United States,SC,South Carolina,Pomaria,546,America/New_York
4592694,NA,North America,US,United States,SC,South Carolina,Reidville,567,America/New_York
4499171,NA,North America,US,United States,NC,North Carolina,Willard,550,America/New_York
4446002,NA,North America,US,United States,MS,Mississippi,Shubuta,710,America/Chicago
4342261,NA,North America,US,United States,LA,Louisiana,Spearsville,628,America/Chicago
4341543,NA,North America,US,United States,LA,Louisiana,Sibley,612,America/Chicago
4327024,NA,North America,US,United States,LA,Louisiana,Harrisonburg,628,America/Chicago
4326074,NA,North America,US,United States,LA,Louisiana,Grambling,628,America/Chicago
4327518,NA,North America,US,United States,LA,Louisiana,Hodge,628,America/Chicago
4183744,NA,North America,US,United States,GA,Georgia,Bolingbroke,503,America/New_York
4227639,NA,North America,US,United States,GA,Georgia,Unadilla,503,America/New_York
4085521,NA,North America,US,United States,AL,Alabama,Red Bay,691,America/Chicago
4057261,NA,North America,US,United States,AL,Alabama,Courtland,691,America/Chicago
4091553,NA,North America,US,United States,AL,Alabama,Spruce Pine,630,America/Chicago
4078898,NA,North America,US,United States,AL,Alabama,Munford,630,America/Chicago
4055815,NA,North America,US,United States,AL,Alabama,Cleveland,630,America/Chicago
4642680,NA,North America,US,United States,TN,Tennessee,Mooresburg,531,America/New_York
4649014,NA,North America,US,United States,TN,Tennessee,Philadelphia,557,America/New_York
4646239,NA,North America,US,United States,TN,Tennessee,Nunnelly,659,America/Chicago
4665927,NA,North America,US,United States,TN,Tennessee,Wartrace,659,America/Chicago
4073889,NA,North America,US,United States,AL,Alabama,Lowndesboro,698,America/Chicago
4828083,NA,North America,US,United States,AL,Alabama,Cecil,698,America/Chicago
4093801,NA,North America,US,United States,AL,Alabama,Titus,698,America/Chicago
4063555,NA,North America,US,United States,AL,Alabama,Fulton,686,America/Chicago
4440602,NA,North America,US,United States,MS,Mississippi,Pearlington,622,America/Chicago
4053172,NA,North America,US,United States,AL,Alabama,Calvert,686,America/Chicago
4055294,NA,North America,US,United States,AL,Alabama,Chunchula,686,America/Chicago
4072240,NA,North America,US,United States,AL,Alabama,Leroy,686,America/Chicago
4305295,NA,North America,US,United States,KY,Kentucky,Providence,649,America/Chicago
4299752,NA,North America,US,United States,KY,Kentucky,Manitou,736,America/Chicago
4290859,NA,North America,US,United States,KY,Kentucky,Eddyville,632,America/Chicago
4301420,NA,North America,US,United States,KY,Kentucky,Mortons Gap,736,America/Chicago
4237664,NA,North America,US,United States,IL,Illinois,Eddyville,632,America/Chicago
4310416,NA,North America,US,United States,KY,Kentucky,Symsonia,632,America/Chicago
4307122,NA,North America,US,United States,KY,Kentucky,Saint Charles,659,America/Chicago
4619503,NA,North America,US,United States,TN,Tennessee,Dukedom,632,America/Chicago
